Number of elements	Merge Sort	Selection Sort
1	1510	2266
2	2643	755
3	2643	756
4	2266	378
5	2643	755
6	2643	755
7	3021	755
8	3398	755
9	3776	1132
10	4154	1510
11	4908	1133
12	5663	1510
13	6796	1888
14	6041	1888
15	6797	1888
16	7174	2265
17	10195	3398
18	8306	2644
19	8684	3021
20	10573	3021
21	9817	3398
22	11327	4531
23	15103	4154
24	11705	4153
25	12083	4908
26	12837	4909
27	15481	5286
28	13970	5664
29	15481	6041
30	15481	6418
31	14725	6419
32	16236	7174
33	16614	7174
34	18124	9439
35	16992	8306
36	6419	8307
37	6041	10194
38	5664	9440
39	8684	9817
40	6419	10195
41	7174	10195
42	6796	13215
43	7174	11705
44	6797	12083
45	6796	12838
46	7174	13216
47	20389	13971
48	5664	14348
49	6041	14726
50	5286	15858
51	4908	15858
52	5287	16613
53	5286	17369
54	5664	17369
55	5287	18124
56	5664	18501
57	5664	19257
58	5663	20390
59	6041	20012
60	6042	21522
61	6041	22655
62	23787	24543
63	6419	23410
64	6041	23788
65	6419	24920
66	6419	26053
67	7174	25676
68	6797	26808
69	6419	31717
70	7174	82313
71	12460	31339
72	7929	33982
73	7174	33605
74	7929	35115
75	7551	37381
76	7551	37003
77	7174	37758
78	7551	46065
79	8685	38135
80	8306	15858
81	8684	12838
82	8307	18501
83	8684	15103
84	9439	20012
85	9062	15103
86	7930	20767
87	9817	12083
88	10949	11328
89	8684	10950
90	9440	13215
91	9062	12083
92	8684	12460
93	9440	12083
94	9440	12461
95	9062	12460
96	10195	13215
97	9817	13970
98	9817	13215
99	10195	13970
100	9817	13971
101	11327	14726
102	11327	15104
103	10572	18501
104	11328	15103
105	11327	15859
106	11327	15858
107	11705	23410
108	10950	16991
109	11705	16991
110	11327	16236
111	11327	17368
112	12082	21900
113	14726	29451
114	16614	18502
115	12460	17746
116	11705	18501
117	12082	18879
118	12082	19257
119	12082	20767
120	12083	22277
121	13215	21900
122	17746	21900
123	12460	22278
124	13970	25676
125	12837	21523
126	12838	21900
127	15103	38891
128	14725	24543
129	16614	23411
130	13216	23410
131	16991	23788
132	14348	24165
133	18124	24920
134	14348	24920
135	14726	25298
136	14348	24920
137	14726	26053
138	17368	26054
139	13971	26431
140	16236	27186
141	14348	27564
142	14726	27941
143	15481	27941
144	14726	28318
145	24543	52861
146	26430	49085
147	16991	29451
148	16236	29829
149	15858	30584
150	16236	31717
151	16614	31717
152	16614	39268
153	16236	36248
154	16991	32472
155	15858	32850
156	15859	32850
157	15481	33605
158	15858	33605
159	16991	34737
160	17747	41534
161	15481	35116
162	16991	37381
163	16991	37381
164	18124	38514
165	17369	37758
166	17747	42290
167	18501	37758
168	18501	38513
169	18501	38514
170	17746	38891
171	18501	41157
172	18501	40024
173	20012	41534
174	21522	40779
175	19257	41534
176	18880	47198
177	19256	41911
178	19634	43044
179	19257	43799
180	18879	44554
181	19635	44177
182	19257	44932
183	19634	45687
184	21144	45310
185	27563	82313
186	42290	83445
187	35115	90998
188	35115	86466
189	34737	69853
190	21900	48708
191	22278	48708
192	30206	91375
193	36248	98549
194	37003	92885
195	34360	94395
196	42667	97039
197	37003	94395
198	38891	97416
199	36247	98171
200	38891	103835
201	36625	57392
202	26053	55505
203	21523	67965
204	22655	58902
205	22278	58903
206	23410	57015
207	25298	58525
208	32094	63811
209	16614	58525
210	15859	60036
211	16236	63433
212	16613	60791
213	15859	93263
214	15859	63811
215	20390	62301
216	16613	62301
217	16236	63056
218	16613	62679
219	16614	63434
220	16236	64566
221	16236	65700
222	16613	65699
223	16236	66077
224	16613	66455
225	16991	67587
226	16991	67587
227	21900	68343
228	17368	69475
229	16991	69852
230	18124	70230
231	18501	70986
232	17369	72873
233	18502	72118
234	17746	73629
235	18879	73251
236	18879	74006
237	17747	76271
238	18502	89487
239	17746	76650
240	25298	76272
241	17368	77782
242	18879	77782
243	18124	78159
244	18502	78915
245	19257	90619
246	19634	80425
247	20012	78160
248	20389	90997
249	18879	88354
250	20390	84200
251	18879	90241
252	18501	84956
253	20012	95528
254	20011	88354
255	20390	87222
256	26808	161982
257	31716	160850
258	30962	166891
259	31339	108365
260	21522	92508
261	22655	89864
262	20767	90997
263	21522	90998
264	20389	99681
265	23788	92885
266	20767	93641
267	24165	98549
268	21522	100437
269	20767	108744
270	21145	97794
271	21899	97039
272	20389	98926
273	21900	98926
274	21899	103458
275	21899	100059
276	21522	104590
277	21522	104590
278	23788	112519
279	22277	10195
280	21522	9439
281	21522	8684
282	21900	8307
283	21900	8684
284	22277	8306
285	22278	8306
286	22277	7929
287	25676	8306
288	24920	11327
289	23410	8307
290	21899	8685
291	23788	8307
292	21900	8684
293	21900	8306
294	23411	8684
295	23788	8684
296	23033	8684
297	22277	8685
298	23033	8685
299	23410	8684
300	23410	9062
301	24165	8684
302	23787	9062
303	22655	9062
304	22655	9062
305	23410	9062
306	22655	9439
307	23032	9062
308	23033	9439
309	24920	9440
310	25675	9439
311	24165	10950
312	23787	9817
313	23788	9440
314	23410	9818
315	24165	9817
316	24543	9817
317	24165	10195
318	49841	16236
319	29829	16613
320	30584	16236
321	30585	17369
322	30962	16613
323	32850	17368
324	32094	18124
325	32095	18124
326	32095	18124
327	29829	10950
328	24543	10950
329	24543	10950
330	23033	10950
331	32850	10949
332	23788	10950
333	23787	10950
334	24542	10950
335	23788	10949
336	24165	11327
337	23410	11328
338	24165	11327
339	24920	11327
340	24166	11327
341	24920	11327
342	24543	11328
343	25298	11705
344	24165	11705
345	24543	11705
346	24543	12082
347	25675	11705
348	26053	12082
349	27563	18502
350	32472	14726
351	32472	15481
352	32094	17369
353	32850	12838
354	27563	12838
355	26053	12838
356	26053	13593
357	26431	12837
358	26431	12460
359	26053	12460
360	26053	12838
361	26430	12838
362	25298	12838
363	27186	13215
364	26431	13215
365	26431	13215
366	26053	13593
367	28696	13593
368	27941	16991
369	30207	13593
370	26431	13215
371	37758	23032
372	27186	13593
373	27186	13970
374	26431	13970
375	26808	15103
376	27564	13970
377	29074	13970
378	28697	14348
379	29829	14348
380	27563	14348
381	38891	25298
382	41534	26053
383	42667	25675
384	39268	15480
385	28696	15481
386	29452	15104
387	33982	15103
388	33605	15480
389	34737	15481
390	30584	15103
391	29073	15481
392	28696	15103
393	28318	15103
394	29074	15481
395	29451	15480
396	36626	15481
397	28697	15858
398	30206	16613
399	30584	15858
400	33604	15858
401	30207	15859
402	37758	16236
403	29452	16236
404	30206	16236
405	33605	16614
406	29451	18124
407	38513	26808
408	40779	27186
409	43799	24920
410	41534	28697
411	43422	28696
412	41911	28696
413	50973	29452
414	42289	29451
415	42667	30207
416	44177	31339
417	47575	31339
418	45310	31340
419	47198	31339
420	47953	31339
421	46443	31717
422	47198	31717
423	46064	31717
424	45687	28319
425	44555	31339
426	44177	28319
427	36625	18501
428	32849	19257
429	31717	18502
430	40779	18501
431	33982	18502
432	36626	18501
433	33982	18124
434	32095	18502
435	32094	18502
436	31340	18502
